30.63,14.12,21.85,4.72,13.84,6.60,11.64,23.44,75.53,37.11,45.88,4.72,8.04,6.82,25.53,25.08,12.19,8.17,1
27.64,12.24,19.12,4.72,13.11,5.94,11.18,22.14,71.09,35.58,43.84,4.72,8.04,6.82,24.65,23.99,11.58,8.17,1
29.13,13.18,20.03,5.50,13.84,6.60,12.11,24.75,79.97,37.49,44.86,5.08,8.85,6.82,25.53,26.17,12.19,8.17,1
32.12,14.12,20.94,6.29,14.57,8.58,18.63,38.21,122.18,48.21,55.05,7.25,11.26,8.52,34.33,41.44,15.84,9.99,1
50.80,20.71,28.23,9.44,21.85,9.24,22.36,48.63,155.50,66.95,70.34,7.98,12.87,9.38,46.65,47.98,21.33,10.90,1
75.45,29.18,36.42,14.15,27.68,11.22,28.41,70.77,219.92,99.47,85.63,10.52,17.69,11.93,60.73,59.98,29.86,13.62,1
49.30,22.59,36.42,5.50,20.40,11.88,14.44,29.96,97.74,48.21,59.13,6.53,10.45,8.52,34.33,34.90,17.06,9.08,1
11.21,7.53,12.75,3.15,6.56,6.60,9.32,20.41,68.86,27.55,43.84,5.44,8.85,7.67,18.48,27.26,9.14,8.17,1
41.83,19.77,31.87,3.93,11.66,6.60,9.78,25.62,85.53,45.14,53.01,5.44,10.45,8.52,29.05,29.44,16.45,9.99,1
37.35,16.00,22.76,5.50,16.75,6.60,14.44,29.09,94.41,48.21,54.03,5.44,9.65,7.67,33.45,29.44,15.84,9.08,1
22.41,8.47,10.02,3.15,6.56,3.96,8.38,22.58,73.31,40.94,34.66,3.99,8.04,5.97,20.24,18.54,10.97,8.17,1
60.51,27.30,49.17,7.08,24.77,12.55,16.30,35.60,115.51,58.53,75.44,6.89,12.06,9.38,44.01,40.35,21.94,9.99,1
12.70,7.53,12.75,2.36,6.56,5.28,8.85,17.80,59.98,27.93,44.86,4.72,8.04,5.97,21.13,21.81,10.36,7.27,1
12.70,6.59,10.93,3.15,6.56,5.28,10.25,19.97,71.09,32.14,35.68,3.99,7.24,5.97,20.24,18.54,9.14,7.27,1
50.80,19.77,25.50,6.29,18.21,7.26,13.97,32.56,104.41,57.39,59.13,5.80,10.45,7.67,36.97,31.62,18.28,9.08,1
32.87,15.06,21.85,3.15,8.74,4.62,7.92,20.41,66.64,36.73,42.82,4.35,8.85,6.82,21.13,20.72,12.19,8.17,1
29.88,13.18,19.12,4.72,13.84,5.94,13.04,26.48,85.53,44.38,51.99,5.08,8.85,6.82,31.69,27.26,14.62,8.17,1
18.68,7.53,9.11,3.15,5.83,3.96,8.38,21.27,69.98,38.64,30.58,3.99,8.04,5.97,18.48,16.36,9.75,8.17,1
53.78,22.59,32.78,7.86,23.31,9.90,18.17,38.64,124.40,60.45,68.30,6.89,11.26,8.52,42.25,40.35,20.11,9.99,1
47.06,19.77,28.23,9.44,20.40,13.21,20.96,44.72,144.39,58.92,66.26,7.98,12.87,10.23,42.25,47.98,19.50,10.90,1
16.43,9.41,15.48,3.15,8.74,7.26,10.71,22.14,73.31,30.99,45.88,5.44,8.85,7.67,22.89,30.53,10.97,8.17,1
11.21,7.53,11.84,2.36,6.56,5.28,9.32,19.54,63.31,26.02,39.76,5.08,8.04,6.82,18.48,25.08,9.14,8.17,1
20.92,10.35,16.39,6.29,10.93,9.24,18.17,36.03,115.51,34.05,44.86,6.89,11.26,8.52,24.65,45.80,11.58,9.99,1
45.57,18.83,26.41,5.50,20.40,7.26,18.63,37.77,123.29,69.63,77.48,6.89,10.45,8.52,51.05,40.35,23.16,9.08,1
14.19,7.53,11.84,3.15,7.28,4.62,10.71,20.84,73.31,35.20,37.72,4.35,7.24,5.97,22.89,20.72,9.75,7.27,1
